Whiskey,Percent.whiskey,Rep,Style,"Ethene, ethoxy-",Acetaldehyde,Acetone,"Methane, diethoxy-","Ethane, 1,1-diethoxy-","Butane, 1,1-diethoxy-3-methyl-"
Highland Park,70,2,SM,5191.288306,53560.30502,0,57882.4196,485002.9669,17427.00121
Highland Park,70,3,SM,5640.648184,52327.05837,0,53140.61228,359254.1582,10408.88098
Highland Park,80,1,SM,9022.402688,60347.36195,0,58670.6946,532386.7356,12928.42757
Highland Park,80,2,SM,8578.791503,59747.44492,0,58046.06145,516810.7944,12690.31159
Highland Park,80,3,SM,7988.054149,59471.47476,0,56949.19894,519815.2171,12717.98224
Highland Park,90,1,SM,12155.95226,67536.34528,102825.3234,58219.71497,634545.5166,11899.21015
Highland Park,90,2,SM,10393.8401,62391.59397,0,53775.79339,605518.8524,11764.79995
Highland Park,90,3,SM,11881.25475,68979.39285,0,57051.6388,612191.5578,11143.66118
Highland Park,100,1,SM,16221.55468,70575.92365,0,55933.25339,720506.122,10688.08542
Highland Park,100,2,SM,17707.76974,76684.09301,0,57080.18503,712220.1319,9637.280307
Highland Park,100,3,SM,20149.57189,78316.97235,0,57474.01161,700872.9288,9628.212821
Highland Park Dark,50,1,SM,4333.081997,40049.11076,59267.64131,35295.13655,214922.6676,10394.56399
Highland Park Dark,50,2,SM,4484.139962,39759.51692,60097.82221,35937.34388,210854.3212,10773.33656
Highland Park Dark,50,3,SM,4248.922967,39086.50377,59198.18232,34894.13778,247150.0221,14654.72687
Highland Park Dark,60,1,SM,5125.3285,44822.07121,25128.38469,36274.05228,326904.6663,13672.82419
Highland Park Dark,60,2,SM,4789.830973,45486.88173,26650.4929,38118.86392,343490.7362,17144.2853
Highland Park Dark,60,3,SM,5098.493766,43797.33393,26100.12247,37253.74425,323452.6088,14645.72208
Highland Park Dark,70,1,SM,6235.483788,46387.0215,49444.2533,35177.12266,405751.4985,15431.53406
Highland Park Dark,70,2,SM,6228.992779,47552.78222,50459.41509,35004.38496,411699.2304,16037.10163
Highland Park Dark,70,3,SM,6212.632996,47670.88918,52497.75451,37184.83102,443830.419,17829.49368
Highland Park Dark,80,1,SM,8196.466696,53782.90805,22379.1334,34006.12526,487508.9391,13506.8616
Highland Park Dark,80,2,SM,8144.744332,55550.89547,24598.3408,37207.93138,567215.2339,17074.98675
Highland Park Dark,80,3,SM,8585.346532,55093.81501,23509.90242,35004.79869,507854.921,13312.1455
Highland Park Dark,90,1,SM,9941.02884,55219.05884,43622.48668,32461.47283,702055.3571,18014.09933
Highland Park Dark,90,2,SM,10226.11795,59644.15003,45650.66441,35150.28689,659748.3031,15950.88564
Highland Park Dark,90,3,SM,10852.60032,60756.25964,47578.42575,36528.54146,701721.4154,17431.15646
Highland Park Dark,100,1,SM,11947.20886,64375.69487,14224.2497,33152.4365,715964.8586,12959.81215
Highland Park Dark,100,2,SM,12960.88027,63466.42682,13573.9808,34598.42727,740424.7336,13546.31796
Highland Park Dark,100,3,SM,14697.76035,66575.61444,13702.0515,33727.64675,691702.6606,11547.35018
The Irishman,50,1,IW,3075.123179,45564.2907,11932.5951,26512.31297,217100.4369,16544.30141
The Irishman,50,2,IW,2709.388603,58090.60427,13153.05196,26174.32582,206836.5771,14266.35804
The Irishman,50,3,IW,3088.471239,47877.49013,11571.28963,26436.26584,212289.7687,15700.37997
The Irishman,60,1,IW,2380.19378,78377.82318,16698.35713,26510.84392,299508.0777,18751.81764
The Irishman,60,2,IW,2950.224503,66117.75338,14760.52428,25721.19489,308476.5423,20190.79229
The Irishman,60,3,IW,3036.58293,51946.71485,12439.48642,26698.43484,313338.199,21283.74682
The Irishman,70,1,IW,3696.336622,52428.25784,10923.38498,27521.35761,465809.1738,28165.3198
The Irishman,70,2,IW,3623.670935,50305.33691,10520.04664,26065.45844,433389.459,27508.71094
The Irishman,70,3,IW,3158.188557,54687.60616,10162.19798,24856.31861,409038.3663,24849.5726
The Irishman,80,1,IW,3752.037224,58678.02334,12541.02858,28420.81489,621385.6707,35161.83207
The Irishman,80,2,IW,3675.103526,59025.24336,12840.68073,29480.80102,627651.2621,35693.80294
The Irishman,80,3,IW,3511.550934,75224.6476,14927.25429,29248.10547,664176.0071,36010.64621
The Irishman,90,1,IW,3533.75002,77836.57513,14771.26692,28982.14679,753651.6714,35360.221
The Irishman,90,2,IW,4495.894094,62912.65256,13637.08639,30116.55944,816850.4833,40278.02079
The Irishman,90,3,IW,4393.558071,63892.55371,13808.67258,29972.14888,796990.1559,38735.97943
The Irishman,100,1,IW,4103.333664,93665.69471,13190.53715,29260.95114,892995.3396,36361.56281
The Irishman,100,2,IW,5183.857812,112760.3812,15691.6044,30427.72437,946794.3744,33795.71658
The Irishman,100,3,IW,5057.73784,70144.36425,12078.8611,31219.21485,995411.7452,41441.73798
Laphroaig 10,50,1,SM,4058.162932,67220.94697,24318.92611,13219.19676,172159.6299,23804.35846
Laphroaig 10,50,2,SM,4331.900363,68477.52273,25205.93871,14434.31789,188159.0189,25591.2183
Laphroaig 10,50,3,SM,3981.889879,66431.5514,22553.16231,11996.29767,163910.9579,23498.14763
Laphroaig 10,60,1,SM,4002.316241,87346.20148,24375.01479,14682.90693,284950.5073,38373.33476
Laphroaig 10,60,2,SM,4264.006111,78842.59624,20609.09167,15206.83388,275606.2608,36073.1089
Laphroaig 10,60,3,SM,3354.56362,95601.4802,29324.03276,14567.75633,255819.4003,31362.40884
Laphroaig 10,70,1,SM,4134.605251,93155.63739,17491.9761,15003.29607,371385.3957,42669.17451
Laphroaig 10,70,2,SM,4020.497553,100306.1235,20402.58891,14658.58021,355258.4784,40638.80401
Laphroaig 10,70,3,SM,4161.530576,90271.35618,17668.64757,14355.97448,360760.1024,42225.00925
Laphroaig 10,80,1,SM,4191.997388,99793.67647,221730.0731,13988.07253,477929.9539,49636.19398
Laphroaig 10,80,2,SM,5207.371317,84237.36234,171739.1087,14443.08521,628481.4664,70480.59094
Laphroaig 10,80,3,SM,5425.670167,83949.39732,179753.9411,14463.49571,629189.1981,71284.6007
