Whiskey,Percent.whiskey,Rep,Style,o-Xylene,p-Xylene,Mesitylene,Furfural,Benzofuran,Benzaldehyde,"2-Furancarboxaldehyde, 5-methyl-",Benzonitrile,"Benzofuran, 2-methyl-",Naphthalene,"1H-Indene, 1-ethylidene-",trans-3-Methyl-4-octanolide,"Phenol, 2-methyl-","Phenol, 4-ethyl-2-methoxy-",Mesitylene,"Phenol, 3,4-dimethyl-","Phenol, 3-ethyl-5-methyl-","Phenol, 3-ethyl-",Dibenzofuran
Basil Hayden's,60,2,BU,5154.893012,3902.403632,8649.563214,449393.6618,1420.396975,23870.76667,33423.34561,857.7214805,1822.391645,6394.488074,0,100086.8476,0,11513.96922,13287.78761,164.7175477,148.1643801,2833.565763,0
Basil Hayden's,60,3,BU,4745.132214,3789.428543,8156.4133,448079.5452,1325.417319,21304.86283,31293.06294,1242.41771,0,5912.180958,0,91315.97739,0,9851.971957,12717.26411,172.6462893,137.5913448,2694.24923,0
Basil Hayden's,70,1,BU,8286.759711,5281.693099,9591.457249,475726.9378,1380.710636,20339.42712,31027.902,1275.839453,0,4358.183118,0,81174.83769,0,8321.463506,15276.7019,162.1452401,21.40478245,2555.060539,0
Basil Hayden's,70,2,BU,9512.674786,8289.895137,10362.75733,592986.2083,554.5428331,18395.73575,27636.07439,2087.205991,737.9777402,3182.893417,0,70182.44488,232.1096318,5716.234905,14583.98752,221.4589721,0,2396.741928,53.35903105
Basil Hayden's,70,3,BU,8589.469556,5709.741148,9624.451177,465976.7986,1333.655512,21314.39596,33979.33835,1240.004824,0,4760.260073,0,84043.51066,0,8973.30617,15615.85121,0,160.5132531,2560.791222,0
Basil Hayden's,80,1,BU,6778.596128,4948.779659,8295.275041,467141.6204,1009.422446,22152.2499,33075.04744,861.6456905,1052.429751,3699.772789,0,68726.7184,0,6996.155143,13036.5944,0,13.61854437,3238.952789,0
Basil Hayden's,80,2,BU,4674.951767,4127.419386,6714.017401,438041.3159,665.9008548,21691.36815,31874.12551,1378.427959,0,3359.892614,0,61244.95427,0,5759.273255,8569.256731,0,0,2886.08113,0
Basil Hayden's,80,3,BU,7166.3214,4908.698934,7570.793795,458829.4017,1061.870849,19146.2475,30798.51441,1240.631568,0,3797.687935,0,60692.09778,0,5513.561656,13145.29457,0,0,2650.163979,0
Basil Hayden's,90,1,BU,6074.888459,4332.701852,6656.427356,452927.4113,900.7702726,18726.20871,30957.84606,1225.136822,0,3186.863203,0,53205.24347,0,4411.170925,11333.27229,120.0292556,0,2659.091168,0
Basil Hayden's,90,2,BU,5737.42202,4258.527237,6512.052162,465445.4081,762.8680196,19370.01143,32122.84577,929.3835387,724.0988646,2258.777177,0,53877.72442,0,4747.506228,9495.586185,181.6678018,0,3329.322592,0
Basil Hayden's,90,3,BU,6186.775535,4499.633752,6919.680939,477678.4735,708.425713,20937.2063,31625.34279,1131.014634,838.8497683,3317.657059,0,55070.03838,0,5249.15123,9762.723253,182.8689913,0,3605.965615,0
Basil Hayden's,100,1,BU,5663.382526,4102.468624,5327.394581,484615.2802,457.2520185,15279.24203,28473.81086,1295.915478,402.5729296,1858.437423,0,47287.30489,0,4161.898343,9877.516587,229.2748401,0,2721.750406,0
Basil Hayden's,100,2,BU,5583.784446,4139.456417,5113.396037,465773.7909,429.5375169,16598.08736,30332.17357,1163.023051,408.3096297,1780.375773,0,34996.81987,0,2803.461068,9431.934113,163.9283583,0,2691.035606,0
Basil Hayden's,100,3,BU,2646.143019,1189.65072,2145.48368,844188.5789,0,16076.75704,79082.48269,1098.133112,536.5221261,9.259126232,0,24724.07609,0,0,7653.086859,144.8412411,0,2782.275001,0
Black Bottle,50,1,BS,5979.183424,4463.677487,4519.919867,303868.0739,4204.099159,58437.60391,5265.768184,3970.215951,4238.032123,251840.8847,35706.72323,4527.975287,5923.142434,1418.15302,2822.822238,4056.657506,360.8436295,2101.155291,10225.45263
Black Bottle,50,2,BS,5219.088784,3822.047723,3976.421309,300003.8801,3901.152824,53203.15825,5249.496651,4247.087823,3954.454335,224209.8687,22371.15879,3995.542381,6471.834504,1651.315347,2151.586519,4169.481439,155.2390071,1961.269569,4860.207565
Black Bottle,50,3,BS,5980.720961,4527.460003,4419.48123,298758.2072,3270.731168,49523.22889,4838.320823,3157.50115,2939.917664,133500.6103,13417.88579,4463.764878,4945.277498,1217.901515,2971.682047,3026.557964,0,2102.237133,1982.914291
Black Bottle,60,1,BS,3815.212514,3030.716169,3884.598301,324790.885,4446.734197,58285.57023,5968.997017,4869.63313,5974.250528,427442.1999,53965.11774,3883.08444,7421.690087,1776.666661,2298.626935,5538.88384,357.8541846,2046.616079,13267.09066
