Whiskey,Percent.whiskey,Rep,Style,"8-Nonenoic acid, ethyl ester",Ethyl trans-4-decenoate,Ethyl 9-decenoate,"Benzeneacetic acid, ethyl ester","10-Undecenoic acid, ethyl ester","Benzenepropanoic acid, ethyl ester",Ethyl 9-hexadecenoate,"Oxalic acid, decyl 2-phenylethyl ester"
Bulleit,90,1,RW,9684.93456,96804.27958,2550.611306,10091.74034,10211.53278,365.8012718,6992.658544,1687.085292
Bulleit,90,2,RW,11059.48864,106207.0981,3173.034732,10694.20785,11137.03671,369.6106807,8062.187028,1555.899631
Bulleit,90,3,RW,9013.555966,83888.18249,2146.572728,9523.733052,8489.981141,205.1015422,7235.60752,1125.866362
Bulleit,100,1,RW,6356.330066,46126.30787,0,8602.203613,2211.600212,36.07473522,2951.005365,0
Bulleit,100,2,RW,6216.030564,46525.03532,0,7999.454872,2269.918218,0,2001.322281,0
Bulleit,100,3,RW,6209.92295,45764.84387,0,8392.667993,2300.926774,0,2376.359076,915.9259425
Bunnahabhain,50,1,SM,48321.26766,134079.312,42999.1561,12432.84498,13199.63071,10973.11463,271706.1461,35234.11201
Bunnahabhain,50,2,SM,41183.7854,103433.1639,34705.89484,11234.23496,10266.20494,9555.446186,311445.8041,33148.65929
Bunnahabhain,50,3,SM,51659.28107,144005.144,45022.2606,12365.99141,13197.69573,10858.24753,262274.902,31137.61142
Bunnahabhain,60,1,SM,32993.97633,101272.6245,30479.48245,11126.48064,9829.517519,8962.26548,331295.057,38086.51184
Bunnahabhain,60,2,SM,36240.29258,115500.9509,33807.37988,11327.50806,10788.056,9501.632787,311650.7374,31650.80346
Bunnahabhain,60,3,SM,35683.27142,108422.894,33255.52064,11774.98695,10501.82414,9703.428906,308491.38,36017.56369
Bunnahabhain,70,1,SM,22052.01403,73747.92845,21320.39039,8471.690212,7519.099906,6120.845352,305511.138,33456.27215
Bunnahabhain,70,2,SM,20450.1566,64275.34579,17907.10979,7164.170343,5919.917114,5332.739456,220792.9067,27800.83499
Bunnahabhain,70,3,SM,22645.7535,77875.45588,22018.86709,8844.645009,7894.062583,7145.169781,270789.242,31716.79592
