Whiskey,Percent.whiskey,Rep,Style,D-Limonene,"1,6,10-Dodecatrien-3-ol, 3,7,11-trimethyl-, [S-(Z)]-",o-Cymene
Maker's Mark,90,3,BU,0,0,2996.5745
Maker's Mark,100,1,BU,0,0,2051.795715
Maker's Mark,100,2,BU,0,0,1938.480394
Maker's Mark,100,3,BU,0,0,1791.545197
Michter's Rye,50,1,RW,15711.80183,267.8307852,42868.46108
Michter's Rye,50,2,RW,0,509.4859786,35964.87628
Michter's Rye,50,3,RW,0,512.0500699,37272.54037
Michter's Rye,60,1,RW,4752.433957,106.7354639,26708.69185
Michter's Rye,60,2,RW,0,0,24710.22059
Michter's Rye,60,3,RW,9708.159187,4.258814776,27323.86177
Michter's Rye,70,1,RW,13831.80756,0,32490.27328
Michter's Rye,70,2,RW,4969.260695,0,30452.78158
Michter's Rye,70,3,RW,0,0,26459.82042
Michter's Rye,80,1,RW,0,0,19172.70707
Michter's Rye,80,2,RW,12141.96695,0,23145.17293
Michter's Rye,80,3,RW,0,0,19879.97286
Michter's Rye,90,1,RW,0,0,15506.64537
Michter's Rye,90,2,RW,0,0,14609.55929
Michter's Rye,90,3,RW,8543.175554,0,16215.02059
Michter's Rye,100,1,RW,7819.081016,0,13327.31352
Michter's Rye,100,2,RW,7531.757547,0,13266.68748
Michter's Rye,100,3,RW,7725.094298,0,13217.68903
Monkey Shoulder,50,1,BS,0,39122.40667,6250.591949
Monkey Shoulder,50,2,BS,14757.74374,45429.44855,7424.414128
Monkey Shoulder,50,3,BS,16199.34205,44184.69948,7707.929968
Monkey Shoulder,60,1,BS,14704.35083,32609.96372,6445.741627
Monkey Shoulder,60,2,BS,11631.06626,29951.90088,6162.38837
Monkey Shoulder,60,3,BS,0,23252.21345,5359.87433
Monkey Shoulder,70,1,BS,0,12760.94777,5454.256648
Monkey Shoulder,70,2,BS,0,12963.14827,5072.391901
Monkey Shoulder,70,3,BS,0,14462.59066,5149.335741
Monkey Shoulder,80,1,BS,0,4876.295632,4053.45952
Monkey Shoulder,80,2,BS,13460.57258,4387.780692,4772.494045
Monkey Shoulder,80,3,BS,0,5299.915196,3999.924795
Monkey Shoulder,90,1,BS,0,1393.3926,2488.127907
Monkey Shoulder,90,2,BS,0,858.9287113,2876.711027
Monkey Shoulder,90,3,BS,0,1307.225636,3086.284972
Monkey Shoulder,100,1,BS,8716.712073,0,2515.88649
Monkey Shoulder,100,2,BS,8729.331638,0,2556.791988
Monkey Shoulder,100,3,BS,0,0,1810.857617
Four Roses,50,1,BU,63555.32803,997.0501142,25315.98233
Four Roses,50,2,BU,35064.15867,810.9057909,18383.98335
Four Roses,50,3,BU,62110.79504,909.3767649,24662.74164
Four Roses,60,1,BU,70422.4184,305.9131606,24713.37539
Four Roses,60,2,BU,68395.29549,481.8039169,23762.52082
Four Roses,60,3,BU,49399.56938,301.6944782,20453.99941
Four Roses,70,1,BU,61317.48642,0,19833.42138
Four Roses,70,2,BU,51773.7624,0,18130.96387
Four Roses,70,3,BU,53503.11032,0,18380.07822
Four Roses,80,1,BU,45242.70277,0,14388.48817
Four Roses,80,2,BU,44181.80098,0,14056.45318
Four Roses,80,3,BU,46250.70537,0,14163.07729
Four Roses,90,1,BU,35120.64366,0,10510.79923
Four Roses,90,2,BU,35363.9388,0,10544.83419
Four Roses,90,3,BU,37327.11672,0,10621.98115
Four Roses,100,1,BU,27771.91206,0,7686.735064
Four Roses,100,2,BU,28661.76491,0,7723.274717
Four Roses,100,3,BU,26736.64019,0,7328.321357
Russell Reserve,50,1,RW,333739.979,5481.622786,82206.08188
Russell Reserve,50,2,RW,0,3820.030048,71004.81914
Russell Reserve,50,3,RW,321566.1368,5435.735296,79065.80997
Russell Reserve,60,1,RW,365994.3607,3151.315449,78425.37443
Russell Reserve,60,2,RW,339666.8708,3448.193902,73087.43654
Russell Reserve,60,3,RW,0,2620.920639,63421.83637
Russell Reserve,70,1,RW,316362.1086,1094.768089,62698.82305
Russell Reserve,70,2,RW,302529.6565,1437.722688,61642.85999
Russell Reserve,70,3,RW,326367.0392,1092.862958,66677.34831
Russell Reserve,80,1,RW,258662.0262,156.5934741,49557.28891
Russell Reserve,80,2,RW,277216.8909,265.7836168,52923.86884
Russell Reserve,80,3,RW,260533.1168,384.9740207,51033.47811
Russell Reserve,90,1,RW,160554.4809,66.09729617,33323.8992
Russell Reserve,90,2,RW,168966.5826,49.04569661,34853.05421
Russell Reserve,90,3,RW,151186.1703,80.29641032,31506.22251
Russell Reserve,100,1,RW,115605.8373,0,22458.618
Russell Reserve,100,2,RW,0,0,20873.74996
Russell Reserve,100,3,RW,120845.8317,0,23927.01889
George T Stagg,50,1,BB,37247.98411,0,10385.23986
George T Stagg,50,2,BB,31801.91049,0,9775.176138
George T Stagg,50,3,BB,36695.62585,0,10365.0807
George T Stagg,60,1,BB,21035.13747,0,5809.61998
George T Stagg,60,2,BB,20957.09684,0,5805.710204
George T Stagg,60,3,BB,21087.36795,0,5743.762058
George T Stagg,70,1,BB,11642.17873,0,2801.991268
George T Stagg,70,2,BB,11402.89777,0,2813.641431
George T Stagg,70,3,BB,10970.23391,0,2701.528018
George T Stagg,80,1,BB,5794.035376,0,1335.355345
George T Stagg,80,2,BB,6095.433453,0,1481.35311
George T Stagg,80,3,BB,6103.427465,0,1364.505214
George T Stagg,90,1,BB,3114.65723,0,840.47182
George T Stagg,90,2,BB,3328.767844,0,853.4427101
George T Stagg,90,3,BB,3102.852427,0,722.1027807
George T Stagg,100,1,BB,1749.346344,0,236.8638654
George T Stagg,100,2,BB,1686.933569,0,0
George T Stagg,100,3,BB,1638.24756,0,234.5996094
Teeling,50,1,IW,1778.859181,43.66542263,57270.46233
Teeling,50,2,IW,1752.80543,91.46802905,63138.79288
Teeling,50,3,IW,519677.5761,76.80823782,71401.04054
Teeling,60,1,IW,4477.550697,0,58865.17242
Teeling,60,2,IW,552499.1934,0,68161.94867
Teeling,60,3,IW,2445.787559,0,59617.1679
Teeling,70,1,IW,495179.7421,0,55096.47747
Teeling,70,2,IW,2082.739923,0,44942.50494
Teeling,70,3,IW,482193.2326,0,52835.12741
Teeling,80,1,IW,410152.9819,0,42597.07836
Teeling,80,2,IW,398206.7791,0,41259.32321
Teeling,80,3,IW,2618.071488,0,39664.22865
Teeling,90,1,IW,320552.1141,0,31554.08417
Teeling,90,2,IW,325741.666,0,31250.17753
Teeling,90,3,IW,326016.4598,0,31243.74721
Teeling,100,1,IW,856.0094664,0,20860.11644
Teeling,100,2,IW,149576.255,0,21107.48248
Teeling,100,3,IW,231328.3746,0,22229.87822
Tullamore Dew,50,1,IW,6475.728889,0,2551.314888
Tullamore Dew,50,2,IW,0,0,3684.556423
Tullamore Dew,50,3,IW,0,0,4241.993857
Tullamore Dew,60,1,IW,16690.72017,0,4732.434288
Tullamore Dew,60,2,IW,1988.332109,0,4390.485978
Tullamore Dew,60,3,IW,0,0,4001.170781
Tullamore Dew,70,1,IW,16155.98684,0,4230.632074
Tullamore Dew,70,2,IW,0,0,3603.344859
Tullamore Dew,70,3,IW,17538.35406,0,4369.791066
