Whiskey,Percent.whiskey,Rep,Style,2-Methoxy-N-methylethylamine,Pentane,Octane,"Propanoic acid, 2,2-dimethyl-, octyl ester","Undecane, 2,6-dimethyl-",Toluene,"1,1,6,6-Tetramethylspiro[4.4]nonane",Pentadecane,"1-Decanol, 2-hexyl-",Benzo[c]thiophene,"Cyclopentane, 1-ethenyl-3-ethyl-2-methyl-"
Black Bottle,70,3,BS,63248.26786,3612.78391,0,0,903.627178,3303.58981,0,2266.311993,1225.511809,0,1576.680762
Black Bottle,80,1,BS,67724.00643,3535.309486,0,275.8341707,501.2321775,3887.815247,0,1656.349155,812.4914939,0,360.0712292
Black Bottle,80,2,BS,76231.64374,3562.848659,0,721.3517073,1596.736601,4603.356455,662.0382641,5097.957068,5005.316939,0,293.6317853
Black Bottle,80,3,BS,67270.12772,3461.432002,0,297.0644702,1135.033557,3881.521844,0,2852.327713,1353.778009,0,243.5441966
Black Bottle,90,1,BS,75391.62265,3867.140898,125.2902509,0,438.0343164,3478.132337,0,2694.146567,3008.266077,0,296.2546921
Black Bottle,90,2,BS,66719.85977,3444.917522,0,609.3073344,1187.87075,3384.975873,0,1086.90493,0,0,110.8099436
Black Bottle,90,3,BS,79797.6005,3651.324666,0,264.8968938,927.0208228,3168.281954,0,3268.65586,2171.960611,0,219.2296339
Black Bottle,100,1,BS,68653.99627,3777.866415,0,310.2225969,427.6207622,2793.169529,0,932.6651746,0,0,136.8786648
Black Bottle,100,2,BS,64401.41295,3323.201111,25.79872495,445.0591419,963.9517512,2732.333477,0,1751.159028,0,0,252.9740701
Black Bottle,100,3,BS,65709.86465,3310.004801,0,0,591.830605,2055.320922,368.5352817,1041.027636,0,0,0
Bulleit,50,1,RW,33176.3517,2061.375272,281.2562527,0,0,7715.705021,29674.34591,13209.96878,4426.715994,113.3310535,10807.90588
Bulleit,50,2,RW,32648.1579,2188.220165,470.3267149,0,0,8069.077711,30587.82808,12113.33928,3213.653564,113.822254,9218.931144
Bulleit,50,3,RW,32937.73784,2113.967376,379.1167301,0,0,8230.030278,28299.52677,10087.92902,3120.000526,78.4670101,7708.361223
Bulleit,60,1,RW,33439.84792,2188.142445,138.577477,0,0,6875.19151,41740.54259,25482.62924,13179.12156,142.6688533,10210.3948
Bulleit,60,2,RW,36481.35522,2104.714731,727.4366918,0,0,7315.553125,42843.35868,21018.98084,7719.014208,143.8185769,9263.178338
Bulleit,60,3,RW,34598.66791,2146.979226,612.4517741,0,0,7824.048721,46601.3794,20909.31286,8819.089378,150.2861984,9348.642933
Bulleit,70,1,RW,34153.36321,2149.423351,587.3974496,0,0,6400.316601,62169.79099,43692.37074,18132.79213,114.0169958,7406.885238
Bulleit,70,2,RW,35670.93403,2158.497056,582.5081023,0,0,6128.866008,61414.22766,43830.63508,18663.34872,112.857027,7599.996939
Bulleit,70,3,RW,34691.86232,2155.711056,477.9866079,0,0,6608.405295,65080.87212,44523.77984,18550.98476,113.8338587,9870.536794
Bulleit,80,1,RW,34092.14103,2245.205494,850.1271878,0,0,5962.428532,72649.36478,155555.9986,75585.27453,254.5357667,3129.720279
Bulleit,80,2,RW,34733.73931,2194.571563,1052.181359,0,0,5869.418925,75404.67352,160477.0105,76187.61706,125.8920709,3582.255906
Bulleit,80,3,RW,34112.23348,2076.243988,757.9460989,0,0,5783.405332,61903.52247,136912.0253,65730.58426,99.50109884,3457.387321
Bulleit,90,1,RW,34241.42662,2087.20972,272.5007119,0,0,3233.368202,38516.14853,168538.813,118076.7717,74.55579427,901.9376338
Bulleit,90,2,RW,35951.65962,2194.158826,266.3110412,0,0,3441.369358,38778.53117,199134.0294,140772.91,77.38275547,1068.96985
Bulleit,90,3,RW,34976.75203,2265.818525,122.5407098,0,0,3398.902231,34649.79611,152813.0523,106382.2529,96.859387,716.6812272
Bulleit,100,1,RW,33977.81017,2332.889448,191.4035726,0,0,3008.673362,24596.52468,100209.8809,60177.15712,53.66916461,415.895001
Bulleit,100,2,RW,38290.43145,2164.550576,215.2219151,0,0,3086.521122,25328.62302,109849.7416,63124.21863,53.66674358,1093.202158
Bulleit,100,3,RW,35370.2347,2220.077145,147.2797899,0,0,3114.838835,25151.35896,104652.6478,61922.29783,54.26543103,542.8959177
Bunnahabhain,50,1,SM,28694.55044,2118.373768,113.7136299,0,582.4077388,8615.958676,0,996.5851316,6630.856054,26.915214,641.6106731
Bunnahabhain,50,2,SM,28394.00598,2115.064228,90.67597099,0,647.2688696,8313.772733,0,747.727899,5331.629016,21.25065456,633.7232516
Bunnahabhain,50,3,SM,30896.39889,2146.480063,470.9055927,2339.96904,3783.655728,9636.383574,0,1056.26427,7129.455363,24.38787052,912.1893585
Bunnahabhain,60,1,SM,28491.82328,2089.403512,62.09899138,0,586.8453686,6590.198979,0,315.8462346,3960.833211,16.46788756,788.01857
Bunnahabhain,60,2,SM,28720.58247,2159.557489,66.47316332,0,531.8106592,6727.022807,0,589.8328287,4532.526481,26.14119384,609.1687825
