Whiskey,Percent.whiskey,Rep,Style,1-Propanol,"1-Propanol, 2-methyl-",1-Butanol,"1-Butanol, 3-methyl-",1-Decanol,(Z)-4-Decen-1-ol,Phenylethyl Alcohol,1-Dodecanol,1-Tetradecanol,Octanoic acid,n-Decanoic acid,1-Hexadecanol,Dodecanoic acid
Wild Turkey,80,3,BU,22585.44453,464250.7427,10311.49493,2978875.274,9619.029931,16308.2152,147547.7836,2894.713548,0,1257.616851,12672.58894,0,0
Wild Turkey,90,1,BU,28284.9998,498067.8866,7341.301773,2873561.557,16143.27607,10172.5146,108286.9622,3131.841584,0,483.5644373,12726.44588,0,0
Wild Turkey,90,2,BU,27947.82583,500258.3352,6764.764366,2912519.33,14978.02809,10244.6568,103642.623,3045.298596,0,310.5992647,12345.51413,0,0
Wild Turkey,90,3,BU,29668.10063,489655.1272,7079.197795,2798001.576,14482.32801,10761.61806,122193.1801,2286.146905,0,765.0501986,13295.14885,0,0
Wild Turkey,100,1,BU,27894.35752,457777.081,4509.579908,2498008.096,4814.842658,8679.20654,197909.2063,0,0,2010.570588,12153.74735,1018.707883,0
Wild Turkey,100,2,BU,31374.59359,495845.4077,4889.413382,2633455.827,4747.694319,6157.734252,84576.6951,0,0,0,11967.19484,0,0
Wild Turkey,100,3,BU,31238.00606,476762.5634,4617.531907,2526850.516,5066.216766,6649.891059,98189.21021,0,0,195.7886105,12437.11919,0,0
Woodford Rye,50,1,RW,36774.98948,697139.8318,6897.952157,4498737.311,10301.42344,34074.05969,114535.9255,1055.031691,1279.969209,6009.744851,19692.23985,2395.226066,2600.565422
Woodford Rye,50,2,RW,44698.69506,665542.4385,7956.873163,4301271.826,11386.395,37316.22103,109920.1198,1343.866729,2753.733792,6797.957251,22415.4882,2194.057218,4336.57807
Woodford Rye,50,3,RW,55620.25252,402598.2834,8660.579272,4190826.467,12642.38957,39961.26942,113205.319,1227.450288,1998.507711,5596.371459,19466.94753,2164.991217,3938.308286
Woodford Rye,60,1,RW,80059.52691,517576.1677,11639.9452,4685630.557,5062.309791,21542.97377,96733.68741,1371.562948,1092.804867,4385.22019,16947.35417,2262.115917,2894.57056
Woodford Rye,60,2,RW,58858.63641,815734.0753,10161.71117,4556938.886,6369.0127,26415.27113,107664.5011,1724.255165,1572.672847,4373.963167,15640.27915,1908.017551,1270.43068
Woodford Rye,60,3,RW,42924.60838,794037.4764,9651.443589,4585010.832,7753.192631,30721.96808,125045.9681,2400.013668,1513.444345,5914.974219,17528.80715,2956.912067,2850.967992
Woodford Rye,70,1,RW,56364.59936,946298.9328,12376.55196,4861666.609,0,12728.02123,102016.5669,2616.576014,713.9486219,3163.40201,14899.83876,1787.251676,1195.476224
Woodford Rye,70,2,RW,83804.5233,552582.1988,12552.11768,4713697.049,0,11764.12556,101198.2159,2438.176414,676.363113,2599.568847,12499.23966,1915.104737,1017.24118
Woodford Rye,70,3,RW,71533.03683,987950.2377,12739.92705,4834698.521,0,15821.54009,82013.94102,2334.121304,897.7509157,2490.17247,12806.13529,1557.273547,588.9368167
Woodford Rye,80,1,RW,82357.09221,930134.3284,12443.66661,4613624.656,4962.372463,7968.995864,63487.88715,5413.765196,0,1481.233855,12226.06079,1124.551847,0
Woodford Rye,80,2,RW,67551.90647,914362.1515,12657.09631,4474347.879,4539.794795,7954.95656,85902.48537,4744.591112,381.1896735,2360.289955,13821.76668,1258.597678,0
Woodford Rye,80,3,RW,59600.43563,962581.3355,11754.40097,4703016.481,4439.878968,7337.154221,56189.93267,4959.709193,0,953.9721198,12433.17481,565.8801955,0
Woodford Rye,90,1,RW,76361.47545,1034420.783,13192.36563,4612024.451,3860.384716,4953.661102,68444.06125,1288.148397,0,735.9915931,12414.51453,370.398312,0
Woodford Rye,90,2,RW,76109.5355,1071899.891,13811.39614,4798183.55,3575.983086,4592.56974,52509.74208,1156.488245,0,0,11692.76361,0,0
Woodford Rye,90,3,RW,81729.50676,1007709.609,12843.51104,4429179.849,4606.701304,4941.971596,93424.29947,1865.544344,0,1405.871598,12402.14029,1444.787314,1293.496787
Woodford Rye,100,1,RW,95749.63462,1157697.879,13459.37935,4664555.156,1610.578181,3344.682293,65072.87505,0,0,0,9802.232274,485.396345,0
Woodford Rye,100,2,RW,97477.10954,1092008.99,13743.07885,4551521.057,1414.807641,2857.519479,32798.59916,0,0,0,11245.07023,340.4919666,0
Woodford Rye,100,3,RW,111087.2666,1156217.212,13819.27185,4583977.175,1206.419801,3030.852267,33449.49489,0,0,0,11058.08297,0,0
