Whiskey,Percent.whiskey,Rep,Style,"1-Butanol, 2-methyl-, acetate","1-Butanol, 3-methyl-, acetate","Acetic acid, 2-phenylethyl ester",Lauryl acetate,Ethyl Acetate,"Acetic acid, decyl ester",1-Tetradecyl acetate,"Farnesol, acetate","Acetic acid, hexyl ester","Acetic acid, heptyl ester"
Famous Grouse,60,3,BS,68317.24122,345656.6302,226914.626,11053.76985,866449.5805,20511.93607,13486.83276,8955.048802,14713.46947,1376.934436
Famous Grouse,70,1,BS,62592.75794,327226.5253,175198.2767,7646.426134,965173.0763,13673.78339,9954.216426,4273.897394,13537.82245,832.467443
Famous Grouse,70,2,BS,57195.18415,294953.2925,135511.3935,6641.915386,861650.4124,13739.2482,4571.329793,2726.444908,11943.29664,495.1042724
Famous Grouse,70,3,BS,61281.06313,309594.5728,159255.8068,7015.317948,913650.6128,13425.58077,7956.509235,3703.762683,12826.48844,771.2659624
Famous Grouse,80,1,BS,56261.31496,290720.13,180280.3505,5643.309135,1033073.868,8558.605832,10761.08271,3164.120477,11558.54846,390.4185322
Famous Grouse,80,2,BS,53857.22713,273482.0852,177845.2678,5378.718572,935361.3433,9713.068485,10991.01671,1846.803288,10855.64479,303.1821208
Famous Grouse,80,3,BS,57500.22164,296731.2788,164568.3087,4548.479479,1001862.716,8006.528258,8324.356818,1849.104055,11729.0422,529.9943703
Famous Grouse,90,1,BS,21002.31701,126091.0539,106812.5252,1287.393128,984219.8195,2517.369964,3440.379072,617.7671826,7963.238187,0
Famous Grouse,90,2,BS,46463.1107,233215.8675,149618.332,1469.490477,984289.1623,3637.690127,4205.621353,669.2650893,9417.636278,193.8656741
Famous Grouse,90,3,BS,18546.21489,112347.7984,128925.6839,1516.869715,930931.02,2302.775813,5220.2452,1036.826113,7293.604163,99.89530462
Famous Grouse,100,1,BS,38704.69352,187283.8609,111598.2096,431.3281083,948402.5133,595.0676297,561.9217015,423.0679767,7983.007654,0
Famous Grouse,100,2,BS,35615.80104,176160.6569,113419.7901,387.921417,937547.9328,1064.101715,53.9258853,0,7374.801341,0
Famous Grouse,100,3,BS,35976.42412,169686.572,86859.50445,340.728548,975239.6152,0,157.9013425,251.9345596,6971.248108,0
Highland Park,50,1,SM,45737.45838,156234.6576,119170.8451,3551.576454,1382041.673,10890.85625,801.813331,2799.167586,7841.025505,895.7859952
Highland Park,50,2,SM,49556.59533,171082.8129,95697.4368,2259.791873,1465217.428,7864.98463,1051.43364,3692.232638,8830.42137,1184.479735
Highland Park,50,3,SM,48630.84573,167723.4619,100582.1464,2412.963624,1446836.491,8259.67378,863.180225,3644.157801,8466.329864,1112.209834
Highland Park,60,1,SM,43869.25944,150644.6805,88829.75022,2800.846454,1541965.992,7301.429701,778.3626749,2599.312036,7098.564732,825.7842319
Highland Park,60,2,SM,42211.16168,145128.3462,91516.5936,3232.683749,1481199.373,8080.897681,923.5661009,2536.593017,7020.459823,809.9716433
Highland Park,60,3,SM,45253.46522,157721.8383,94193.93392,2512.91948,1573970.071,7486.815676,874.5118524,2801.342509,7567.914139,919.4759686
Highland Park,70,1,SM,38699.73922,131810.6506,78273.96393,3918.627773,1593320.551,5958.726512,1098.024486,1760.932172,5924.572556,655.5425989
Highland Park,70,2,SM,39646.08077,135988.1484,71633.88832,1717.947893,1618834.298,4462.339556,550.5549499,1592.731411,6031.634519,730.7217784
Highland Park,70,3,SM,36804.51805,124620.8259,77553.75602,3435.242065,1488438.037,5332.151728,1184.198416,1740.374985,5704.999306,702.910952
Highland Park,80,1,SM,32132.56075,108552.6162,64875.8143,2151.495501,1610467.96,3041.9849,2104.319757,761.6428977,4851.16142,697.9673571
Highland Park,80,2,SM,32002.26382,110252.6976,65978.36829,1540.130546,1597362.377,2782.647381,1784.43086,768.1618953,5078.686532,628.5632997
Highland Park,80,3,SM,31417.86376,107094.4686,66222.17291,2228.914481,1586999.274,2997.612848,2509.619435,873.5260968,4722.913993,620.9803081
Highland Park,90,1,SM,27636.63564,90094.91801,53080.03742,327.5505206,1620197.136,874.738934,728.7878944,324.0040774,4060.095902,685.0784889
Highland Park,90,2,SM,25131.85169,81732.79983,50242.84846,310.3289396,1526270.094,734.6534648,328.8766469,327.221415,3490.162307,453.3623133
Highland Park,90,3,SM,26117.12619,85200.31279,51981.87306,181.4221144,1587051.01,380.7603411,557.9793537,330.747601,3865.903568,637.7264012
Highland Park,100,1,SM,21085.02574,68806.9756,38759.36539,0,1572683.506,0,44.20989883,0,2787.197762,174.2112287
Highland Park,100,2,SM,21621.49438,71187.30068,35095.9133,66.52625802,1596100.545,0,0,0,2984.598157,264.5179548
Highland Park,100,3,SM,20973.35646,71974.68522,43450.91958,400.9593745,1597527.86,0,90.91846776,0,3132.928719,526.5935195
Highland Park Dark,50,1,SM,71701.66175,330024.6358,244236.0638,2898.405071,1409345.338,12291.47248,3153.1871,2943.086836,19954.52941,4149.921554
Highland Park Dark,50,2,SM,71401.49555,334213.5793,230661.3445,2252.89846,1425727.049,11184.92565,3241.672141,2973.508867,20217.84327,4063.349624
Highland Park Dark,50,3,SM,69913.57176,326558.7851,260874.7987,2002.600875,1402802.667,13406.95978,1960.821191,2445.867543,20017.36866,3880.92195
Highland Park Dark,60,1,SM,59931.08385,271372.3656,190912.7719,3007.362358,1474150.599,9833.907101,3232.97276,2264.09224,14383.35619,2987.405568
Highland Park Dark,60,2,SM,62895.29003,297852.2736,209371.6499,2417.461376,1536522.146,10142.75436,3303.672912,2568.570559,16253.61036,3416.139851
Highland Park Dark,60,3,SM,62610.10437,287860.0974,234182.6027,3046.000903,1502455.042,12078.53638,3433.935722,2619.513934,15686.96189,3658.087179
Highland Park Dark,70,1,SM,47613.03759,218597.7978,169863.374,3143.601291,1427261.253,7521.214996,4063.316863,1974.246695,10616.81322,2521.146506
Highland Park Dark,70,2,SM,49473.12246,222119.4899,169577.9064,3176.09008,1428348.001,7437.746763,4304.099476,1748.022441,10879.10113,2503.559935
Highland Park Dark,70,3,SM,51854.09404,237547.7097,167330.8329,2523.405707,1498183.678,7051.166441,3434.802,1864.061393,11796.84106,2812.751673
Highland Park Dark,80,1,SM,38289.1725,172578.0328,130875.2266,1187.252064,1404820.013,3547.659112,2999.569922,979.4916773,7581.607281,2318.584314
Highland Park Dark,80,2,SM,43621.29734,187157.2789,136792.6254,1312.163878,1510555.259,3648.370658,3313.93828,836.8495578,8422.445102,2600.660211
Highland Park Dark,80,3,SM,39755.94654,177424.1495,117121.2748,787.9864192,1440566.356,2746.225891,2005.360958,618.9373181,7962.492277,2319.158119
Highland Park Dark,90,1,SM,31316.0152,138644.057,96391.27754,0,1410855.966,1134.345188,674.3407672,369.2630403,5445.157242,1941.385806
Highland Park Dark,90,2,SM,32912.17277,144058.4779,98081.87555,526.4600755,1437832.875,1020.521159,696.6516191,371.5325395,5952.384728,2367.530496
Highland Park Dark,90,3,SM,32938.85742,149312.1761,106499.6212,329.4504632,1484764.449,1635.07292,1274.354144,670.0775705,6022.396656,2436.880461
Highland Park Dark,100,1,SM,24765.71147,113895.5965,79330.3092,0,1401386.205,367.7547472,413.5607009,233.6695411,3953.116583,2092.883376
Highland Park Dark,100,2,SM,27129.6463,117603.2749,78769.0184,427.2435993,1441309.396,423.7138032,397.891607,0,4213.281535,2032.343698
Highland Park Dark,100,3,SM,25888.91845,115824.7051,73107.09171,0,1414728.186,525.4014803,447.4535493,224.1517805,3886.89719,2123.556081
The Irishman,50,1,IW,68704.16089,493097.5752,327931.8404,18858.23659,946969.0075,85031.16027,2719.404416,2060.091011,23897.83657,6276.767102
